Title,Description,URL,Published At
"Grimes Shares Mom’s Plea For Elon Musk To Let Them See Her Children, Shows Support For Musk’s Daughter Vivian - Stereogum",,https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5zdGVyZW9ndW0uY29tLzIyNzM1MzcvZ3JpbWVzLXNoYXJlcy1tb21zLXBsZWEtZm9yLWVsb24tbXVzay10by1sZXQtdGhlbS1zZWUtaGVyLWNoaWxkcmVuLXNob3dzLXN1cHBvcnQtZm9yLW11c2tzLWRhdWdodGVyLXZpdmlhbi9uZXdzL9IBAA?oc=5,2024-07-27T18:05:00Z
More produce sold in Northeast Ohio stores recalled over listeria contamination concerns - WKYC.com,,https://news.google.com/rss/articles/CBMisgFodHRwczovL3d3dy53a3ljLmNvbS9hcnRpY2xlL21vbmV5L3BlcnNvbmFsLWZpbmFuY2UvcmVjYWxscy9tb3JlLXByb2R1Y2Utc29sZC1pbi1vaGlvLXN0b3Jlcy1yZWNhbGxlZC1vdmVyLWxpc3RlcmlhLWNvbnRhbWluYXRpb24tY29uY2VybnMvOTUtNmMwZGRiNjMtMGI2MS00ZjUzLTkyMzYtYjI1MmMzNTQ4OGQ00gEA?oc=5,2024-07-27T17:09:00Z
Boomtown in red state haven where house prices have tripled - but locals fear it's becoming the next San Franc - Daily Mail,,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9uZXdzL2FydGljbGUtMTM2MTU4MzkvcmVkLXN0YXRlLWNvdW50eS1ob3VzZS12YWx1ZXMtdHJpcGxlZC1zYW4tZnJhbmNpc2NvLmh0bWzSAW5odHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTEzNjE1ODM5L2FtcC9yZWQtc3RhdGUtY291bnR5LWhvdXNlLXZhbHVlcy10cmlwbGVkLXNhbi1mcmFuY2lzY28uaHRtbA?oc=5,2024-07-27T16:56:13Z
"Negotiators Reach A Deal, Avoiding Strike At Airline Caterer Gate Gourmet - Forbes",,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvdGVkcmVlZC8yMDI0LzA3LzI3L25lZ290aWF0b3JzLXJlYWNoLWEtZGVhbC1hdm9pZGluZy1zdHJpa2UtYXQtYWlybGluZS1jYXRlcmVyLWdhdGUtZ291cm1ldC_SAQA?oc=5,2024-07-27T16:22:56Z
Apple has reached its first-ever union contract with store employees in Maryland - The Associated Press,,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2FwcGxlLXVuaW9uLWNvbnRyYWN0LW1hcnlsYW5kLXN0b3JlLWY5ODg0ZDk3OGJmMzEyOWMzNzcyNmRkNzk3ODM5MmE10gEA?oc=5,2024-07-27T16:13:00Z
Smart moves to make when the Fed starts cutting rates - CNN,,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNy8yNy9zdWNjZXNzL2ZlZC1pbnRlcmVzdC1yYXRlLWN1dHMtZGVidC1zYXZpbmdzL2luZGV4Lmh0bWzSAU5odHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDI0LzA3LzI3L3N1Y2Nlc3MvZmVkLWludGVyZXN0LXJhdGUtY3V0cy1kZWJ0LXNhdmluZ3M?oc=5,2024-07-27T16:00:00Z
Big Lots closing several stores in Carolinas - WSOC Charlotte,,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3Lndzb2N0di5jb20vbmV3cy9sb2NhbC9iaWctbG90cy1jbG9zaW5nLXNldmVyYWwtc3RvcmVzLWNhcm9saW5hcy9RNE1MWlBQRDdKRDJMS0JTT0xTMjRGNEo0NC_SAXZodHRwczovL3d3dy53c29jdHYuY29tL25ld3MvbG9jYWwvYmlnLWxvdHMtY2xvc2luZy1zZXZlcmFsLXN0b3Jlcy1jYXJvbGluYXMvUTRNTFpQUEQ3SkQyTEtCU09MUzI0RjRKNDQvP291dHB1dFR5cGU9YW1w?oc=5,2024-07-27T15:54:34Z
"Democrats Pushing Harris Campaign for 'Reset' on Crypto Stance, House Rep Says - CoinDesk",,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmNvaW5kZXNrLmNvbS9wb2xpY3kvMjAyNC8wNy8yNy9kZW1vY3JhdHMtcHVzaGluZy1oYXJyaXMtY2FtcGFpZ24tZm9yLXJlc2V0LW9uLWNyeXB0by1zdGFuY2UtaG91c2UtcmVwLXNheXMv0gF7aHR0cHM6Ly93d3cuY29pbmRlc2suY29tL3BvbGljeS8yMDI0LzA3LzI3L2RlbW9jcmF0cy1wdXNoaW5nLWhhcnJpcy1jYW1wYWlnbi1mb3ItcmVzZXQtb24tY3J5cHRvLXN0YW5jZS1ob3VzZS1yZXAtc2F5cy9hbXAv?oc=5,2024-07-27T15:40:00Z
Why Wall Street is unfazed by Medicare drug pricing threat - Yahoo Finance,,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93aHktd2FsbC1zdHJlZXQtaXMtdW5mYXplZC1ieS1tZWRpY2FyZS1kcnVnLXByaWNpbmctdGhyZWF0LTE1MzExOTIxMS5odG1s0gEA?oc=5,2024-07-27T15:31:19Z
Putin's Spiraling War Spending Hammers Economy - Newsweek,,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3Lm5ld3N3ZWVrLmNvbS9ydXNzaWEtdWtyYWluZS1lY29ub215LWluZmxhdGlvbi1pbnRlcmVzdC1yYXRlLTE5MzEwNDfSAQA?oc=5,2024-07-27T15:00:51Z
